ZCusto,s_ZCusto,ZQualidade,s_ZQual,ZPrazo,s_ZPrazo,"cov(Zcusto,Zqual)","cov(Zcusto,Zprazo)","cov(Zqual,Zprazo)"
"2,6","1,7","-0,4384176624","1,2","2,213741675","0,4867091371","1,385144525","0,5610111683","0,3986235758"
"6,1","1,4","1,805892874","0,6","2,411505323","0,3662758374","0,7042726745","0,3456678412","0,1521396665"
"6,4","1,0","0,9406337109","0,9","3,799978356","0,7970428406","0,7042726745","0,5290382719","0,4911423492"
"-3,1","0,3","-1,794891381","0,2","-2,76964752","0,5402247622","0,7042726745","0,1071110873","0,08236311948"
"-0,6","0,7","-1,295101059","0,2","-0,5061488897","1,086512754","0,7042726745","0,4907070226","0,1631334224"
"0,0","0,7","-1,58862455","0,4","0,6448936574","1,065881111","0,7042726745","0,5348887225","0,3249362357"
"0,2","0,8","-0,5902988152","0,4","1,610974606","1,192277541","0,7042726745","0,6291114441","0,342687332"
"-0,5","0,5","-0,3456767106","0,4","1,282378678","1,081101872","0,7042726745","0,3487690412","0,2662870767"
"-1,4","0,4","-0,9640665046","1,3","0,8131547512","0,403904622","0,7042726745","0,1102666052","0,3581179115"
"2,0","1,4","-1,879178347","1,5","0,4240252291","0,8695393497","0,7042726745","0,8626241636","0,9148923791"
"1,1","0,4","-1,935201969","1,2","1,147966284","0,9267972307","0,7042726745","0,2725389442","0,8013965254"
"3,5","1,4","-1,280631139","1,1","1,395602624","0,9257597716","0,7042726745","0,8883692098","0,7330469035"
