ZCusto (MED Pond),s_ZCusto,ZQualidade (MED pond),s_ZQual,ZPrazo (MED pond),s_ZPrazo
"2,6","1,7","-0,4384176624","1,2","2,213741675","0,4867091371"
"6,1","1,4","1,805892874","0,6","2,411505323","0,3662758374"
"6,4","1,0","0,9406337109","0,9","3,799978356","0,7970428406"
"-3,1","0,3","-1,794891381","0,2","-2,76964752","0,5402247622"
"-0,6","0,7","-1,295101059","0,2","-0,5061488897","1,086512754"
"0,0","0,7","-1,58862455","0,4","0,6448936574","1,065881111"
"0,2","0,8","-0,5902988152","0,4","1,610974606","1,192277541"
"-0,5","0,5","-0,3456767106","0,4","1,282378678","1,081101872"
"-1,4","0,4","-0,9640665046","1,3","0,8131547512","0,403904622"
"2,0","1,4","-1,879178347","1,5","0,4240252291","0,8695393497"
"1,1","0,4","-1,935201969","1,2","1,147966284","0,9267972307"
"3,5","1,4","-1,280631139","1,1","1,395602624","0,9257597716"
